Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,BFFB1,BFFB2,BFFB3,BFFB4,BFFB5,BFFB6,BFFB7,BFFB8,BFFB9,BFFB10,BFFB11,BFFB12,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18,BFFB19,BFFB20,BFFB21,BFFB22,BFFB23,BFFB24,BFFB25,BFFB26,BFFB27,BFFB28,BFFB29,BFFB30,BFFB31,BFFB32,BFFB33,BFFB34,BFFB35,BFFB36,BFFB37,BFFB38,BFFB39,BFFB40,BFFB41,BFFB42,BFFB43,BFFB44,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20
236,1,27,2,3, ,4,3,1,2,7,8, ,1,27,1,1,3,1,4,5,2,6,5,3,4,5,5,2,6,5,6,6,7,6,4,6,4,3,5,5,3,6,5,3,6,6,4,6,7,6,4,6,5,7,5,7,3,5,7,3,4,6,4,6,3,5,5,4,4,7,5,5,7,5,7,5,8,6,3,6,-.507406671266399,-1.30329764467567,.942992074331398,.484533354702673,4,3,3,4,4,3,5,4,3,3,3,4,3,3,4,3,3,2,5,5,3,3,4,2,3,3,5,3,2,2,4,4,3,4,3,4,4,3,5,2,3,3,4,3,4,4,4,4,4,4,4,6,4,5,6,6,4,6,4,5,4,5,4,4
241,1,27,1, , ,4,6,1,4,10,10,1,1,24,1,1,1,1,5,6,7,5,6,4,6,5,5,5,5,4,5,5,4,6,5,6,5,6,6,6,5,5,5,5,4,7,5,5,5,5,5,7,5,4,5,5,7,6,6,7,5,6,7,7,4,5,5,5,5,4,5,8,7,9,7,5,8,6,7,7,-.507406671266399,.500040728977603,2.49858483928684,1.24722474636429,3,4,5,4,5,4,5,3,3,4,3,2,5,2,3,3,3,3,3,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,4,4,3,4,5,3,4,4,5,4,3,6,7,6,6,5,5,5,6,5,5,6,5,6,5,6,5,6,5,6
311,0,29,7, , ,5,3,1,5,5,5,1,1,20,1,1,6,1,5,5,5,4,4,4,5,4,6,5,4,4,3,4,4,4,6,5,6,6,5,6,5,4,5,6,6,3,3,3,4,4,3,2,4,4,4,3,3,2,3,4,4,5,4,3,2,3,4,3,3,2,4,4,7,6,7,7,6,7,8,6,-1.36570651320956,-.401628457849035,.165195691853675,-1.04084942862055,4,5,4,4,5,5,5,4,4,3,4,4,4,5,5,5,4,4,5,5,5,4,5,4,4,4,5,5,4,3,4,5,5,4,3,3,4,4,5,5,4,4,3,4,6,5,6,6,6,6,5,6,6,7,7,6,5,6,5,6,6,5,5,6
319,0,35,1, , ,4,2,3, , , ,2,1,22,1,0,0,1,2,2,7,1,1,2,6,2,7,7,4,1,6,2,1,3,7,4,2,6,2,2,1,1,2,6,1,2,6,3,2,6,1,7,3,5,3,4,7,6,3,5,6,5,2,3,6,4,3,5,4,5,4,7,1,2,3,5,4,3,6,1,-.507406671266399,2.30337910263088,.942992074331398,-.27815803695894,2,3,5,1,2,2,2,4,3,3,3,3,5,1,2,1,5,3,4,3,5,5,3,5,1,1,1,1,1,3,1,5,1,5,2,5,2,1,2,1,5,2,2,5,4,1,2,1,7,2,7,5,3,1,4,4,7,1,4,2,4,2,7,7
384,0,29,6, , ,4,6,1,5,7,3,1,1,18,1,1,1,1,3,6,4,4,5,4,7,6,4,6,5,3,5,5,3,6,7,4,5,5,3,7,6,4,5,5,3,2,1,2,4,3,1,3,1,2,3,1,2,2,1,3,2,2,3,3,4,2,3,3,3,1,1,4,2,3,8,6,6,6,8, ,.350893170676761,.500040728977603,.942992074331398,-.27815803695894,3,4,3,1,4,3,3,2,4,3,4,4,5,5,3,4,2,3,3,5,4,3,4,3,5,4,4,3,5,5,4,5,3,4,5,3,5,3,4,4,2,5,4,4,6,7,7,5,5,6,6,4,7,6,7,7,4,6,5,5,7,3,5,5
30,0,35,3, , ,4,1,2, , , ,4,1,14,1,1,0,1,4,1,4,4,4,1,6,1,1,1,4,4,1,1,4,1,2,1,7,2,2,1,1,1,4,2,1,1,1,1,1,1,4,2,4,4,4,3,3,3,2,4,4,4,1,1,2,2,4,4,3,2,6,1,4,1,9,9,1,9,7,9,1.20919301261992,.500040728977603,.942992074331398,-.27815803695894,4,1,4,1,3,4,4,1,4,4,4,1,4,2,3,3,4,1,3,3,4,4,2,3,3,3,1,2,2,3,2,4,4,4,4,4,1,4,2,3,3,4,3,3,6,4,4,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6
33,0,27,3, , ,4,1,1,5,9, ,1,1,22,1,1,3,1,4,5,6,3,5,5,4,5,5,5,3,6,5,5,4,3,5,4,5,5,4,4,5,5,3,4,4,3,4,4,2,3,3,4,2,3,3,3,4,5,2,4,3,3,4,3,2,2,3,4,3,4,2,3,3,2,1,2,4,1,2,1,-.507406671266399,-.401628457849035,-.612600690624048,-.27815803695894,4,4,5,4,4,3,4,4,3,4,4,3,4,2,4,4,4,2,4,3,3,4,2,2,4,3,3,3,2,3,1,3,3,2,3,2,2,1,1,2,2,3,2,4,3,4,4,4,3,5,6,5,5,6,5,3,6,5,5,2,6,6,4,5
35,0,42,3, , ,4,2,1,5,11,1,1,1,30,1,1,0,1,5,4,5,1,1,4,4,4,5,1,1,7,1,7,1,1,4,1,4,1,4,3,1,2,4,4,1,4,4,4,6,4,7,1,1,4,2,6,1,1,1,4,4,7,4,4,2,4,7,4,4,5,1,1,1,1,1,1,7,4,2,2,-2.22400635515272,-2.20496683150231,-.612600690624048,-.27815803695894,3,1,5,4,4,3,4,1,4,4,4,1,5,3,4,4,5,1,3,4,4,4,1,2,4,4,4,3,2,5,3,4,4,4,4,4,2,5,5,4,4,3,3,4,4,7,4,4,7,5,4,7,4,4,5,5,5,6,5,5,5,7,7,7
110,0,29,3, , ,4,1,1,3,9,1,1,1,28,1,1,3,1,4,6,4,6,4,3,6,7,6,4,7,6,4,7,5,6,5,7,5,3,6,6,2,5,4,7,2,2,1,2,2,2,1,4,3,1,3,1,1,2,1,1,3,1,1,4,1,5,2,1,2,4,2,1,1,1,5,3,2,4,2,4,-.507406671266399,-.401628457849035,.942992074331398,-.27815803695894,4,2,3,1,4,5,4,3,4,4,5,3,4,2,5,3,1,2,1,5,4,4,1,4,3,5,4,3,5,4,4,2,3,4,5,3,1,4,2,4,5,3,1,5,6,4,7,5,5,3,7,6,3,6,6,5,4,6,6,4,7,6,5,6
122,1,26,3, , ,4,1,1,4,9,2,2,1,25,1,1,3,1,3,5,3,5,3,4,6,5,6,7,3,7,4,6,7,3,6,3,6,3,4,5,3,4,6,6,2,2,3,5,4,4,2,4,5,4,5,1,5,4,7,6,5,5,6,6,5,6,5,4,2,3,2,3,3,2,8,6,7,5,7,6,-.507406671266399,-.401628457849035,.165195691853675,.484533354702673,4,2,3,2,3,2,4,2,4,5,4,1,4,2,4,4,5,2,2,4,3,4,2,4,2,4,4,3,4,3,4,5,4,4,5,4,2,4,2,4,4,5,2,4,6,5,4,5,4,6,6,6,7,6,6,5,6,5,6,6,6,5,5,6
